FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Travis Calanoc,"5' 8""",145 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/90d28fee0af74f2d
Ricky Calatayud,"5' 9""",125 lbs.,--,,"Oct 10, 1982",http://ufcstats.com/fighter-details/800feaa25700a85f
Lucas Caldas,--,155 lbs.,--,Orthodox,"May 22, 1996",http://ufcstats.com/fighter-details/8661578c8bb80f51
Carlos Calderon,"5' 11""",145 lbs.,"71""",Southpaw,"Feb 10, 1996",http://ufcstats.com/fighter-details/7d4d7583df7eebf9
Darrion Caldwell,"5' 10""",135 lbs.,--,,"Dec 19, 1987",http://ufcstats.com/fighter-details/b7dc25ee40ee8334
Nicolle Caliari,"5' 3""",125 lbs.,"62""",Orthodox,"Nov 04, 1996",http://ufcstats.com/fighter-details/fc0a4053eb8a3a59
Taylor Callens,"5' 10""",155 lbs.,--,,"May 21, 1991",http://ufcstats.com/fighter-details/53d471e9bf5f2fc8
Cynthia Calvillo,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987",http://ufcstats.com/fighter-details/98215d037be5bcb7
Joe Camacho,"5' 9""",155 lbs.,--,Orthodox,"Mar 10, 1972",http://ufcstats.com/fighter-details/dfb965c9824425db
Frank Camacho,"5' 10""",155 lbs.,"73""",Orthodox,"May 18, 1989",http://ufcstats.com/fighter-details/764342d39cdaa54a
Lucas Camacho,"6' 4""",265 lbs.,"80""",Orthodox,"Dec 15, 1992",http://ufcstats.com/fighter-details/71d25689f70e4036
Matheus Camilo,"5' 10""",155 lbs.,"69""",Orthodox,"Jan 02, 2001",http://ufcstats.com/fighter-details/72f890c5d421e705
Fabricio Camoes,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 23, 1978",http://ufcstats.com/fighter-details/7abe471b61725980
Chris Camozzi,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",http://ufcstats.com/fighter-details/6c2030e0a143a94b
Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991",http://ufcstats.com/fighter-details/1999ffb5cebc314f
Ricky Camp,"5' 7""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/4a99978a0366bb29
Mike Campbell,"5' 9""",155 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/f5585e675af7afd4
Thomas Campbell,--,--,--,,--,http://ufcstats.com/fighter-details/d060014a5a039829
Shane Campbell,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",http://ufcstats.com/fighter-details/784285b7ae7dd85f
Charlie Campbell,"6' 0""",155 lbs.,"72""",Orthodox,"Jul 03, 1995",http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
Kitt Campbell,"6' 1""",170 lbs.,"73""",Orthodox,"Jun 26, 1994",http://ufcstats.com/fighter-details/903ef36a6adc09a3
Kurtis Campbell,"5' 9""",145 lbs.,"72""",Switch,"Jul 29, 2002",http://ufcstats.com/fighter-details/9d51798e61f2e0c7
John Campetella,"5' 9""",235 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7
Wagner Campos,"5' 6""",145 lbs.,--,Southpaw,"Jul 31, 1981",http://ufcstats.com/fighter-details/db6d5f691aea3fd3
Derek Campos,"5' 9""",155 lbs.,--,,"Apr 01, 1988",http://ufcstats.com/fighter-details/aa8dc72b3a1f761c
Will Campuzano,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986",http://ufcstats.com/fighter-details/901cddcbfa079097
Aleksa Camur,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",http://ufcstats.com/fighter-details/c2a670b22d2e196f
Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",http://ufcstats.com/fighter-details/32be4b7f7de1c905
Asbel Cancio,"5' 10""",225 lbs.,--,,--,http://ufcstats.com/fighter-details/2a7afe14b3a0a058
Carlos Candelario,"5' 8""",125 lbs.,"68""",Southpaw,"Jun 04, 1991",http://ufcstats.com/fighter-details/760a55d5b6098cbe
Ronaldo Candido,"5' 6""",125 lbs.,--,Southpaw,"Apr 24, 1989",http://ufcstats.com/fighter-details/23fbe02caabcd214
Luiz Cane,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981",http://ufcstats.com/fighter-details/24b033b3daf1c9df
Guido Cannetti,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",http://ufcstats.com/fighter-details/d05412b513b19621
Jared Cannonier,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",http://ufcstats.com/fighter-details/13a0275fa13c4d26
Jose Canseco,"6' 4""",240 lbs.,--,Orthodox,"Jul 02, 1964",http://ufcstats.com/fighter-details/03da33a102d9a45f
Cody Canterbury,"5' 8""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/23100e8f71f25a4a
Bo Cantrell,"6' 2""",235 lbs.,--,Orthodox,"Feb 08, 1969",http://ufcstats.com/fighter-details/6750e338922a099d
Steve Cantwell,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 08, 1986",http://ufcstats.com/fighter-details/f1f9e48a0d150757
Paul Capaldo,"5' 7""",135 lbs.,--,,"Dec 27, 1996",http://ufcstats.com/fighter-details/83b8fe74224dd642
Phil Caracappa,"5' 8""",135 lbs.,"70""",Orthodox,"Jun 05, 1992",http://ufcstats.com/fighter-details/bd81a97864acf098
Frank Caracci,--,--,--,,--,http://ufcstats.com/fighter-details/44f9c777fed7ca03
Gina Carano,"5' 8""",145 lbs.,--,Orthodox,"Apr 16, 1982",http://ufcstats.com/fighter-details/899eaba48fa864a6
Dos Caras Jr.,"6' 4""",225 lbs.,--,Orthodox,"May 25, 1977",http://ufcstats.com/fighter-details/155a02a8b4311057
Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",http://ufcstats.com/fighter-details/5ef0088c1b19beeb
Remo Cardarelli,--,135 lbs.,--,,--,http://ufcstats.com/fighter-details/e5512a6aed150d8f
Phil Cardella,"5' 11""",155 lbs.,--,,"Jul 09, 1976",http://ufcstats.com/fighter-details/f6a7b02c42e9fc5b
Edgar Cardenas,--,145 lbs.,--,,--,http://ufcstats.com/fighter-details/99a86b134dccc166
Chris Cariaso,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",http://ufcstats.com/fighter-details/b2e3aca4cd363477
Ronald Carillo,--,125 lbs.,--,,--,http://ufcstats.com/fighter-details/cbd022eaf2ac546a
Rafael Carino,"6' 8""",245 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/08a7080ff5904661
Don Carlo-Clauss,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/f59a6de8a5dfe297
Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",http://ufcstats.com/fighter-details/52e76bb4b3e852f3
Spike Carlyle,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993",http://ufcstats.com/fighter-details/be68b375707dcb85
Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",http://ufcstats.com/fighter-details/3591d0d5d382a381
Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",http://ufcstats.com/fighter-details/51a0c09cbe9b8472
Roan Carneiro,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978",http://ufcstats.com/fighter-details/1c86754617d9813a
Ariane Carnelossi,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",http://ufcstats.com/fighter-details/c0d5c0c95c59050b
Luana Carolina,"5' 6""",135 lbs.,"69""",Orthodox,"Jun 11, 1993",http://ufcstats.com/fighter-details/528b071cf3da7c56
Tim Caron,"6' 1""",185 lbs.,--,Orthodox,"Jul 24, 1987",http://ufcstats.com/fighter-details/b80ea4880f25c187
Clayton Carpenter,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 09, 1996",http://ufcstats.com/fighter-details/b62d5280966b2460
Gabriel Carrasco,"5' 6""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/89ed44801968b8e3
Cody Carrillo,"5' 10""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/9346efb4bbaedd08
Cain Carrizosa,"5' 8""",155 lbs.,--,Orthodox,"Jul 22, 1986",http://ufcstats.com/fighter-details/064b7dc68d786254
Roger Carroll,"5' 10""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/572a89dbe1f76761
Jonny Carson,"5' 10""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/0d49ddc07bd8c747
Scott Carson,"6' 2""",215 lbs.,--,,--,http://ufcstats.com/fighter-details/1e3302f9ab6f549a
Shonie Carter,"5' 10""",170 lbs.,--,Southpaw,"May 03, 1972",http://ufcstats.com/fighter-details/7b6e40a73b567072
Jack Cartwright,"5' 9""",135 lbs.,"68""",Orthodox,"May 26, 1994",http://ufcstats.com/fighter-details/1f592bfefb0d62a3
Bruno Carvalho,"5' 8""",154 lbs.,--,,"Jun 07, 1982",http://ufcstats.com/fighter-details/456c02115efc4a01
Antonio Carvalho,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979",http://ufcstats.com/fighter-details/fef3d17e27e916e7
Rafael Carvalho,"6' 3""",185 lbs.,--,,"Jul 27, 1986",http://ufcstats.com/fighter-details/620d8710e89cfeae
Shane Carwin,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",http://ufcstats.com/fighter-details/68dd7b3783c19f9c
Johnny Case,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989",http://ufcstats.com/fighter-details/1f4b04a926ef1287
Kevin Casey,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",http://ufcstats.com/fighter-details/8d9586726252dbf7
Cortney Casey,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",http://ufcstats.com/fighter-details/5f179af5fffeb9f6
Brandon Cash,"6' 5""",255 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/3993f7dcb7caf42a
Bendy Casimir,"5' 5""",145 lbs.,--,Southpaw,"Jun 10, 1980",http://ufcstats.com/fighter-details/ec7ac09293d26c05
Dwayne Cason,"5' 10""",212 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/31c01fbc2586a5eb
Joe Cason,"6' 3""",205 lbs.,--,,"Jan 19, 1988",http://ufcstats.com/fighter-details/2b1c6f28039efe36
John Castaneda,"5' 6""",135 lbs.,"71""",Switch,"Dec 18, 1991",http://ufcstats.com/fighter-details/5fa2974cbd18e05c
Eric Castile,"5' 8""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/a0a69dc9914ef6e1
Gil Castillo,"5' 9""",170 lbs.,--,Southpaw,"Oct 21, 1965",http://ufcstats.com/fighter-details/31ceaf0e670c1578
Danny Castillo,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
Raul Castillo,"5' 11""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/feeae92f951f49a9
Jenna Castillo,"5' 2""",125 lbs.,--,,"May 05, 1982",http://ufcstats.com/fighter-details/e680418329c84ec4
Tim Catalfo,"5' 11""",235 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/6ca68b636fbc1f18
Nick Catone,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",http://ufcstats.com/fighter-details/f8fe2053d73d7bcf
Luke Caudillo,"5' 7""",155 lbs.,--,Orthodox,"Nov 30, 1980",http://ufcstats.com/fighter-details/68d76fd9ecf7431d
Gesias Cavalcante,"5' 8""",155 lbs.,"71""",Orthodox,"Jul 06, 1983",http://ufcstats.com/fighter-details/2a74bbba57058f12
Rafael Cavalcante,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",http://ufcstats.com/fighter-details/5c1ca0c72b599a3c
Jacqueline Cavalcanti,"5' 8""",135 lbs.,"70""",Orthodox,"Aug 29, 1997",http://ufcstats.com/fighter-details/e3964ece586e0635
Igor Cavalcanti,"5' 11""",170 lbs.,"79""",Orthodox,"Oct 10, 1997",http://ufcstats.com/fighter-details/9c3de7f8966326de
Magnus Cedenblad,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",http://ufcstats.com/fighter-details/0e21976afc92e4d1
Yosdenis Cedeno,"5' 8""",155 lbs.,"69""",Orthodox,"Feb 12, 1985",http://ufcstats.com/fighter-details/3e61082025db8137
Henry Cejudo,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/056c493bbd76a918
Adam Cella,"6' 2""",170 lbs.,--,,"Jun 26, 1985",http://ufcstats.com/fighter-details/b27b8881d7444114
Vinicius Cenci,"6' 1""",155 lbs.,"74""",Orthodox,"Nov 24, 1995",http://ufcstats.com/fighter-details/f21a152aaa3e95c6
Katlyn Cerminara,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",http://ufcstats.com/fighter-details/e872e9a9a902c045
Rafael Cerqueira,"6' 3""",205 lbs.,"76""",Southpaw,"Mar 15, 1990",http://ufcstats.com/fighter-details/09a4447655fd4b7b
Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",http://ufcstats.com/fighter-details/1d00756835ca67c9
Jared Chaffee,"5' 10""",155 lbs.,--,,"Dec 15, 1984",http://ufcstats.com/fighter-details/fdf59144e535bc38
Luan Chagas,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993",http://ufcstats.com/fighter-details/9ccf8371fd80d45d
Edgar Chairez,"5' 7""",125 lbs.,"71""",Orthodox,"Jan 27, 1996",http://ufcstats.com/fighter-details/5ef94841c4bc3f86
Ansar Chalangov,"5' 9""",170 lbs.,--,Orthodox,"Oct 30, 1979",http://ufcstats.com/fighter-details/7342fcc41a4817fa
Alex Chambers,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978",http://ufcstats.com/fighter-details/26b63bc5c0c1f65d
Michael Chandler,"5' 8""",155 lbs.,"71""",Orthodox,"Apr 24, 1986",http://ufcstats.com/fighter-details/4b93a88f3b1de35b
Chelsea Chandler,"5' 8""",135 lbs.,"68""",Southpaw,"Nov 23, 1990",http://ufcstats.com/fighter-details/af9efbfd63d39734
Eduardo Chapolin,"5' 7""",125 lbs.,"67""",Orthodox,"Nov 23, 1995",http://ufcstats.com/fighter-details/62f3039da2f92a8c
Donnie Chappell,"5' 11""",178 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/8788beb528894f33
Joe Charles,"6' 1""",260 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/19ffeb5e3fffd6d5
Dan Charles,"6' 2""",228 lbs.,--,,"Sep 24, 1985",http://ufcstats.com/fighter-details/32a4f1235f0dad73
Morgan Charriere,"5' 8""",145 lbs.,"69""",Orthodox,"Oct 26, 1995",http://ufcstats.com/fighter-details/5b03b61f9d90125e
Jeisla Chaves,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1997",http://ufcstats.com/fighter-details/8061a3136026a673
Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983",http://ufcstats.com/fighter-details/b406da701c479076
Emilio Chavez,"5' 9""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/84e8920e59ff14a7
Danny Chavez,"5' 8""",145 lbs.,"67""",Orthodox,"Mar 14, 1987",http://ufcstats.com/fighter-details/0de720c0f1d4ab9c
Gabriel Checco,"6' 1""",185 lbs.,--,Switch,"Apr 03, 1986",http://ufcstats.com/fighter-details/9c5f7d5c6d084b35
Albert Cheng,"5' 11""",170 lbs.,--,Orthodox,"Feb 07, 1985",http://ufcstats.com/fighter-details/d8d7b24d276c8cb0
Fabio Cherant,"6' 1""",205 lbs.,"74""",Southpaw,"Nov 25, 1994",http://ufcstats.com/fighter-details/78a68f1dade6aaf7
Ion Cherdivara,--,205 lbs.,--,,--,http://ufcstats.com/fighter-details/c713a845360d604b
Mark Cherico,"5' 7""",145 lbs.,"69""",Orthodox,"May 12, 1986",http://ufcstats.com/fighter-details/79a193111e3bc99b
Macy Chiasson,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
Michael Chiesa,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",http://ufcstats.com/fighter-details/c58f51dedb310998
Giga Chikadze,"6' 0""",145 lbs.,"74""",Orthodox,"Aug 25, 1988",http://ufcstats.com/fighter-details/9560ff14eb3129f7
Khamzat Chimaev,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994",http://ufcstats.com/fighter-details/767755fd74662dbf
Sako Chivitchian,"5' 11""",155 lbs.,--,Orthodox,"Mar 11, 1984",http://ufcstats.com/fighter-details/9f7787e56a6bc0f4
Mu Bae Choi,"6' 2""",230 lbs.,--,Orthodox,"Jun 27, 1970",http://ufcstats.com/fighter-details/371a1c91b24dec2b
Hong Man Choi,"7' 2""",330 lbs.,--,Orthodox,"Oct 30, 1980",http://ufcstats.com/fighter-details/2c104b7e59a72629
Dooho Choi,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",http://ufcstats.com/fighter-details/e93b04e308913c2e
SeungWoo Choi,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",http://ufcstats.com/fighter-details/a68575214ecad140
SeungGuk Choi,"5' 6""",125 lbs.,"64""",Orthodox,"Dec 26, 1996",http://ufcstats.com/fighter-details/adccbc19b22e19af
DongHun Choi,"5' 5""",125 lbs.,"66""",Switch,"Jan 02, 1999",http://ufcstats.com/fighter-details/3be16d817b36098b
Mark Choinski,"5' 8""",155 lbs.,"69""",Orthodox,"Oct 22, 1995",http://ufcstats.com/fighter-details/001eb2ab0f30e7ea
John Cholish,"5' 11""",155 lbs.,"74""",Orthodox,"Dec 17, 1983",http://ufcstats.com/fighter-details/03c9994c5b8958ec
Ryo Chonan,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 08, 1976",http://ufcstats.com/fighter-details/55a7b2d4e54ffac9
Will Chope,"6' 4""",145 lbs.,--,Switch,"Sep 08, 1990",http://ufcstats.com/fighter-details/db5dc7cb80d7d418
Cody Chovancek,"5' 8""",135 lbs.,"67""",Switch,"Jul 24, 1998",http://ufcstats.com/fighter-details/3c4320a1b6106611
Joachim Christensen,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 07, 1978",http://ufcstats.com/fighter-details/2d447cc91bdaa545
Kevin Christian,"6' 7""",205 lbs.,"80""",Orthodox,"Jan 21, 1995",http://ufcstats.com/fighter-details/7e9b36a9847db116
Dan Christison,"6' 8""",265 lbs.,--,Orthodox,"Apr 26, 1972",http://ufcstats.com/fighter-details/b369533a577fa97c
Anthony Christodoulou,"5' 9""",155 lbs.,--,Orthodox,"Jul 30, 1987",http://ufcstats.com/fighter-details/4f11e9ce318ffbcb
Murad Chunkaiev,"5' 11""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/d4a12dfa4067742f
Cameron Church,"5' 11""",155 lbs.,"72""",Orthodox,"Sep 27, 1990",http://ufcstats.com/fighter-details/f197ce0cbe69996d
Steven Ciaccio,"6' 0""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/eaebaa6801338ea1
Mike Ciesnolevicz,"6' 0""",235 lbs.,--,Orthodox,"Oct 28, 1979",http://ufcstats.com/fighter-details/51b0bb73a1da34bc
Hannah Cifers,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",http://ufcstats.com/fighter-details/2244d9a2b64b8c3b
Branko Cikatic,"6' 1""",215 lbs.,--,Orthodox,"Oct 03, 1954",http://ufcstats.com/fighter-details/4e5bbc4566049cbf
Nikolajus Cilkinas,--,--,--,Orthodox,--,http://ufcstats.com/fighter-details/3f3550bf126a5721
Misha Cirkunov,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 27, 1987",http://ufcstats.com/fighter-details/67f272324a030d00
Johnny Cisneros,"5' 11""",170 lbs.,--,,"Feb 05, 1980",http://ufcstats.com/fighter-details/42611508ba8c3298
Laverne Clark,"5' 11""",170 lbs.,--,Orthodox,"Dec 02, 1973",http://ufcstats.com/fighter-details/1c2f2571b18791b6
Logan Clark,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1985",http://ufcstats.com/fighter-details/6776260cb0aef647
Mychal Clark,"6' 3""",224 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/69108cb8b32efe04
Dominic Clark,"5' 10""",155 lbs.,--,,"Aug 01, 1985",http://ufcstats.com/fighter-details/8a64b3f87ad29d1e
Heather Clark,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",http://ufcstats.com/fighter-details/dd4c16777fb2ccf9
Devin Clark,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",http://ufcstats.com/fighter-details/cc7040fe76f0ef91
Jessica-Rose Clark,"5' 5""",135 lbs.,"64""",Orthodox,"Nov 28, 1987",http://ufcstats.com/fighter-details/6c8072b61c276e67
Shannon Clark,"5' 5""",125 lbs.,"64""",Orthodox,"Jul 07, 1992",http://ufcstats.com/fighter-details/7ae36b3791e0969a
John Clarke,--,170 lbs.,--,,"Aug 15, 1977",http://ufcstats.com/fighter-details/a77c71a574132188
Mitch Clarke,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 24, 1985",http://ufcstats.com/fighter-details/c76ec2bc3a57666a
Rich Clementi,"5' 9""",155 lbs.,"72""",Southpaw,"Mar 31, 1976",http://ufcstats.com/fighter-details/7d21de9c6d7c98b2
Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",http://ufcstats.com/fighter-details/e5ecaf884b6da2bc
RJ Clifford,--,160 lbs.,--,,--,http://ufcstats.com/fighter-details/8e32bfcff3ec1717
Mark Climaco,"5' 4""",125 lbs.,"65""",Southpaw,"Nov 06, 1997",http://ufcstats.com/fighter-details/60098849c703e389
Josh Clopton,"5' 6""",145 lbs.,--,Orthodox,"Jul 11, 1981",http://ufcstats.com/fighter-details/48e96d9cea6d4ab0
Brian Cobb,"5' 11""",155 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/3138fab619faf4d1
Darryl Cobb,"5' 9""",185 lbs.,--,,"Aug 04, 1980",http://ufcstats.com/fighter-details/dc6d8256ee3dfba5
Dave Cochran,"5' 6""",155 lbs.,--,,"May 10, 1973",http://ufcstats.com/fighter-details/6dbb1107de9a4a08
Dakota Cochrane,"5' 8""",155 lbs.,--,,"May 01, 1986",http://ufcstats.com/fighter-details/8fa7e0bc052185ce
Marloes Coenen,"5' 9""",145 lbs.,"67""",,"Mar 31, 1981",http://ufcstats.com/fighter-details/0b77a05bcbd2de74
Marc Cofer,--,185 lbs.,--,,"Mar 03, 1972",http://ufcstats.com/fighter-details/e90d9d0681270953
John Cofer,"5' 9""",155 lbs.,--,Southpaw,"Apr 29, 1984",http://ufcstats.com/fighter-details/8b260672a21d1fd6
Chris Coggins,--,--,--,,--,http://ufcstats.com/fighter-details/a0c29b13f7a5df32
Felipe Colares,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 31, 1994",http://ufcstats.com/fighter-details/dbac0a413af64bbe
Wayne Cole,"6' 1""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/2eab7a6c8b0ed8cc
Devin Cole,"6' 4""",240 lbs.,--,Orthodox,"Oct 01, 1976",http://ufcstats.com/fighter-details/1174782eacde9b0c
Coltin Cole,--,185 lbs.,--,,"Apr 24, 1989",http://ufcstats.com/fighter-details/cecd72feb0d640e3
Ivan Cole,"5' 9""",135 lbs.,--,,"Nov 30, 1990",http://ufcstats.com/fighter-details/987b80f57190d6d0
Chandler Cole,"5' 10""",264 lbs.,"72""",Orthodox,"Jan 09, 1995",http://ufcstats.com/fighter-details/5d8a9c95af50280a
Mark Coleman,"6' 1""",205 lbs.,"75""",Orthodox,"Dec 20, 1964",http://ufcstats.com/fighter-details/21b8a0f5c231096f
Cortez Coleman,"6' 1""",185 lbs.,--,,"Jan 28, 1982",http://ufcstats.com/fighter-details/ffb20ae0db47ebe6
Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",http://ufcstats.com/fighter-details/cc900c6a71ed23f3
Jamie Colleen,"5' 3""",115 lbs.,"65""",Orthodox,"Nov 02, 1985",http://ufcstats.com/fighter-details/6b64db453edf4c50
Jake Collier,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",http://ufcstats.com/fighter-details/92fa1401b7927da3
Christian Colombo,"6' 5""",265 lbs.,--,Orthodox,"Jul 01, 1980",http://ufcstats.com/fighter-details/9123c54d0a2b72dd
Willian Colorado,"5' 10""",135 lbs.,"72""",,"Jun 21, 1986",http://ufcstats.com/fighter-details/dfc7f0a2d91ad337
Wes Combs,"6' 2""",205 lbs.,--,Orthodox,"Jun 18, 1973",http://ufcstats.com/fighter-details/a85998eb79650b2c
Rose Conceicao,"4' 7""",115 lbs.,"65""",Orthodox,"May 13, 1997",http://ufcstats.com/fighter-details/a76c07e8e4c76e9a
Roque Conceicao,--,125 lbs.,--,Orthodox,"Oct 27, 1999",http://ufcstats.com/fighter-details/b4ebc1539a08054b
Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",http://ufcstats.com/fighter-details/f9f07bb5a43535ed
Chris Condo,"6' 0""",335 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/41e77dc504a192c6
Jack Congdon,"6' 2""",170 lbs.,"75""",Switch,"May 21, 1997",http://ufcstats.com/fighter-details/c44530d3969134a3
Tristan Connelly,"5' 10""",145 lbs.,"68""",Orthodox,"Dec 12, 1985",http://ufcstats.com/fighter-details/2ebfbe72ed703925
Marcos Conrado Jr.,"6' 2""",220 lbs.,--,Orthodox,"Mar 14, 1982",http://ufcstats.com/fighter-details/d450769115a193c2
Jeremiah Constant,"6' 1""",240 lbs.,--,Orthodox,"Jul 19, 1974",http://ufcstats.com/fighter-details/18f5669a92e99d92
Jonathan Contrestano,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/06d4eb8123087123
Bob Cook,"5' 9""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/1c061eb6e29eaa0a
Mike Cook,"6' 1""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/3ab0df1ddd5f1dc2
Chad Cook,"6' 2""",205 lbs.,--,,"Nov 07, 1979",http://ufcstats.com/fighter-details/e6daf9cdbf0da889
TJ Cook,--,205 lbs.,--,,"Sep 08, 1982",http://ufcstats.com/fighter-details/fa238ecfd048f7d8
Dewey Cooper,--,205 lbs.,--,,--,http://ufcstats.com/fighter-details/5efaaf313b652dd7
Brett Cooper,"6' 0""",170 lbs.,--,Orthodox,"Jul 02, 1987",http://ufcstats.com/fighter-details/88ffe9745e218dd8
Bill Cooper,--,155 lbs.,--,,"May 05, 1984",http://ufcstats.com/fighter-details/78bd6940d093fd33
Bobby Cooper,"6' 1""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/1b51895e5572cfda
Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",http://ufcstats.com/fighter-details/d4a31850a7457f1b
Kit Cope,"6' 0""",170 lbs.,--,Orthodox,"Mar 17, 1977",http://ufcstats.com/fighter-details/ce47f49e5c386a9c
Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",http://ufcstats.com/fighter-details/8c8c92a12621d7e0
Josh Copeland,"6' 1""",265 lbs.,--,Orthodox,"Oct 20, 1982",http://ufcstats.com/fighter-details/3aa794cbe1e3484b
